IAGA,GLON,GLAT,MLON,MLAT,Station name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARK,40.5,64.6,117.58,61.2,Arkhangelsk,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
AAE,38.77,9.03,111.35,0.01,Addis Ababa,0%,82%,99%,99%,91%,96%,96%,98%,95%,98%,95%,100%,100%,93%,86%,47%,0%,0%,0%,0%
ABG,72.87,18.62,146.07,12.01,Alibag,96%,90%,85%,92%,95%,89%,93%,100%,99%,100%,100%,100%,100%,98%,71%,80%,91%,98%,94%,88%
AMS,77.57,-37.8,139.98,-48.93,Martin de Vivias,99%,100%,99%,98%,95%,100%,100%,100%,100%,100%,100%,100%,100%,98%,100%,95%,92%,100%,94%,90%
API,188.22,-13.8,-96.63,-15.52,Apia,84%,91%,92%,78%,89%,75%,88%,48%,55%,82%,83%,63%,89%,93%,99%,98%,99%,99%,98%,97%
ASP,133.88,-23.77,-152.08,-33.75,Alice Springs,100%,99%,100%,100%,99%,100%,99%,98%,97%,95%,94%,98%,100%,100%,100%,100%,100%,99%,100%,100%
BMT,116.2,40.3,-170.2,34.69,Beijing Ming Tombs,100%,99%,98%,100%,99%,100%,93%,100%,100%,98%,99%,99%,99%,100%,98%,98%,98%,97%,98%,99%
BNG,18.57,4.33,91.02,-9.37,Bangui,99%,96%,95%,84%,75%,58%,99%,97%,69%,74%,53%,38%,0%,0%,0%,0%,0%,0%,0%,0%
BSL,270.36,30.35,-18.13,40.78,Bay St Louis,99%,97%,100%,100%,100%,66%,0%,93%,99%,99%,100%,99%,100%,97%,100%,100%,99%,100%,99%,89%
CNB,150.7,-34.1,-131.25,-43.6,Canberra,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
CAN,149.36,-35.31,-132.48,-45.09,Canberra,0%,0%,0%,63%,39%,0%,0%,93%,95%,76%,4%,46%,99%,95%,20%,0%,0%,0%,0%,0%
